phonetic_transcription;wav_path;speaker
#p kk ll 'aa rr uc kk ic pp oo dd 'ee mm uc zz aa zh uu dd 'aa ll ac mm ee ll 'ii ss ac #p ee ss tt 'an mm uc zz aa kk 'ii pp rd ac 'ii ss uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0002.wav;adriana
#p dd 'uu rf mm ac 'oo ij tt uc 'oh rr ac ss pp oo rf dz 'ii ac ic ss ic ss en ts ii rr 'aa dd ee ss kk an ss 'aa dd uc ic sh 'ee ij uw dz ic ee nn ee rf zh 'ii ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0083.wav;adriana
#p ts ii vv 'eh mm uc ss tt 'oo dd ac zz ac zz rx 'uu ac zz ic aa vv ee nn 'ii dd ac ss kk on zh ee ss ts ii oo nn 'aa dd ac ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0434.wav;adriana
#p uc ff ll aa mm 'en gg uc ll 'uu tt ac pp 'ee ll ac ll 'ii gg ac rx ee gg uu ll 'aa rf dd ac 'ee nn ic bb 'ii 'ee ij #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0123.wav;adriana
#p aa bb rd ii rr 'ee mm uc zz 'uu mm ac ee ss ee ss 'an wn pp rd ac vv oo ss 'ee pp aa gg 'aa rr aa 'in dd ac 'oo zh ic ac pp aa rf ss 'eh ll ac dd uc aa kk 'oo rf dd uc kk ic ee ss tt 'aa vv en ss 'ii dd ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_aco/wav22/eps_neutro_aco0078.wav;adriana
#p 'ee ij zz un pp 'on tt uc dz ic ss oo ll ii dd aa rr ii ee dd 'aa dz ic pp 'aa rr ac tt 'oo dd uc ss 'ee rr uu mm 'an nn uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0692.wav;adriana
#p ss 'an wn ss ii en ts 'ii ss tt ac zz in tt ee rf nn aa ss ii oo nn 'aa ij ss #c dz ic aa tt ll 'an tt ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0175.wav;adriana
#p ss ic vv oo ss 'ee kk ii zz 'eh rf ll 'ee rr un bb 'on ll 'ii vv rd uc #c tt 'en nh uc un kk ic aa kk aa bb 'ee ij dz ic ll 'ee rr ic 'eh dd ee mm 'aa ij ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0040.wav;adriana
#p uc mm ii ll ii tt 'aa rr aa ff ii rf mm 'oo uw kk ic ac kk rd 'ii zz ic ff 'ii kk ac nn uc nn 'oh rf ts ic dd uc pp aa 'ii ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0229.wav;adriana
#p en mm aa tt 'eh rr ij ac dz ic ss ee gg 'uu rr uc ss #c 'eh ss 'en pp rd ic bb 'on ee ss tt 'aa rf pp rd ee pp aa rr 'aa dd uc pp 'aa rr ac tt 'uu dd uc 'an ts ic ss kk ic ss 'ee uw kk 'aa zz uc ff 'ii kk ic ff aa mm 'oo zz uc nn uc ii uw tt 'uu bb ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0742.wav;adriana
#p 'eh ss ac mm oo dd aa ll ii dd 'aa dz ic aa 'in dd ac pp 'oh dz ic kk oo bb rd 'ii rr aa ss ii dd 'en ts ic ss pp ee ss oo 'aa ij ss #c kk 'aa zz uc zz dz ic dd oo 'en ss ac zz gg rd 'aa vv ic ss #c dd ee ss pp 'ee zz ac zz mm 'eh dz ic kk uc oo ss pp ii tt aa ll 'aa rr ic ss #c 'oo uw mm 'ee zz mm uc rx ee en bb 'oo uw ss uc dz ic dd ee ss pp 'ee zz ac ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0252.wav;adriana
#p uc tt 'en pp uc dz ic rx ee kk uu pp ee rr aa ss 'an wn 'eh kk 'uu rf tt uc #c dz 'ii ac zz mm 'aa ij zz dz 'ii ac zz mm 'ee nn uc zz 'ee ll ic ss ee rr 'aa dd 'aa dd uc dz ic 'aa uw tt ac ic vv oo uw tt aa rr 'aa pp 'aa rr ac kk 'aa zz ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_aco/wav22/eps_neutro_aco0037.wav;adriana
#p vv oo ss 'ee gg 'oh ss tt ac dd 'eh ss ac zz mm 'uu zz ic kk ac ss pp oo rf kk 'ee lh ic ff 'aa zz en ll en bb rd 'aa rf dd 'eh ll ac ss 'ee uw ss aa ff 'aa dd uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0156.wav;adriana
#p aa gg 'oh rr ac kk ic vv oo ss 'ee ss 'aa bb ic in gg ll 'ee ss #c pp 'oh dz ic ee ss pp ee rr 'aa rr un bb 'on aa uw mm 'en tt uc dz ic ss aa ll 'aa rr ic uw #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0129.wav;adriana
#p kk 'oo mm uc ss uu ss ee dd 'ee uw ac kk 'eh dd ac dd ac pp rd ee ff 'ee ij tt ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0415.wav;adriana
#p pp oo rf kk 'ee vv oo ss 'ee nn 'an wn kk 'eh rf dd 'aa rf sh 'an ss ic 'aa uw aa zz 'aa rf #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0643.wav;adriana
#p 'eh ss 'oh dd ee zz en vv oo uw vv 'ee rr uc kk 'uu rf ss uc ac mm 'eh dz ic uw ic ll 'on gg uc pp rd 'aa zz uc ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0115.wav;adriana
#p uc vv ee rf dd aa dd 'ee ij rr uc in kk rd ee mm 'en tt uc ee ss tt 'aa ff aa zz 'en dd uc vv ee rf dd aa dd 'ee ij rr ac rx ee nn oo vv aa ss 'an wn 'aa uw ee zz ee kk uu ts 'ii vv uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0662.wav;adriana
#p 'ee uw ee ss tt 'oo uw aa mm 'an dd uc uc zz aa rf ts 'ii gg uc zz dd ac ss en nh 'oh rr ac #s ss 'ee ij kk ic vv 'oo uw aa pp rd en dd 'ee rf mm 'un in tt uc kk on tt 'oo dd uc zz 'ee ll ic ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0009.wav;adriana
#p nn 'an wn kk on ss 'ii gg uc ee ss pp ee rr 'aa rf mm 'aa ij ss pp rd ac ts ic dd 'aa rr ac bb 'oo ac nn oo ts 'ii ss ij ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0061.wav;adriana
#p nn uc zz dd 'eh zz 'uu uw ts ic mm uc zz dz 'ii ac ss #c vv 'aa rr ic uw zz aa tt 'aa kk ic zz dz ii ss pp aa rr 'aa dd uc ss kk 'on tt rd ac ac pp oo ll 'ii ss ij ac mm aa tt 'aa rr an wn ss 'ee rf kk ac dz ic ss ee ss 'en tt ac pp ee ss 'oo ac zz ic dd 'eh zz mm ii ll ii ss ii 'an nn uc ss ss uu nn 'ii tt ac ss ff 'oo rr an wn mm 'oh rf tt uc zz en en bb oo ss kk 'aa dd ac ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0188.wav;adriana
#p mm 'ee uw pp 'aa ij mm ic in ss pp ii rr 'oo uw nn uc dz 'ii ac ac dz 'ii ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0057.wav;adriana
#p ss 'ee uw kk on tt rd 'aa tt uc ss ee rr 'aa rx ee nn oo vv 'aa dd uc pp oo rf mm 'aa ij zz dd 'oo zz ic mm 'ee zz ic ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0282.wav;adriana
#p nn ac vv ee rf dd 'aa dz ic aa kk rd ee dz 'ii tt uc kk ic ff 'oo ij 'eh ll ac aa kk 'ii #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0591.wav;adriana
#p pp 'oh dz ic vv 'ii rf bb uu ss kk 'aa rf ss 'ee uw kk 'aa rx uc #c pp 'oo ij zz 'ee ll ic zh 'aa ee ss tt 'aa pp rd 'on tt uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0604.wav;adriana
#p vv 'an mm uc zz aa bb rd 'ii rr uc pp ll aa kk 'aa rf nn ac vv 'ii ll ac bb ee uw mm 'ii rr uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0126.wav;adriana
#p uc pp aa gg aa mm 'en tt uc pp 'oh dz ic ss 'ee rf ff 'ee ij tt uc aa tt 'eh nn uc mm 'aa ss ic mm uc dz 'ii ac tt rd 'ee zz ic dz ic nn oo vv 'en bb rd uc #c ee vv ii tt 'an dd uc aa kk rd 'eh ss ic mm uc dz ic zh 'uu rr uc ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0379.wav;adriana
#p ac ll 'ii vv ij ac nn 'an wn pp 'aa rr ac dz ic pp uu ll 'aa rf dz ic aa ll ee gg rd 'ii ac kk on ac ff 'eh ss tt ac dz ic aa nn ii vv ee rf ss 'aa rr ic uw kk ic gg an nh 'oo uw #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0038.wav;adriana
#p ic ss ic rx ee aa uw mm 'en ts ic aa uw gg 'en uu zz 'aa rr uc kk 'aa rx uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0789.wav;adriana
#p uc ss ss uu bb mm aa rr 'ii nn uc ss ff 'oo rr an wn ee ss tt rd aa tt 'eh zh ij ac ic pp ee rf dz ii ss 'an wn dd ac mm aa rr 'in nh ac aa ll ee mm 'an #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0209.wav;adriana
#p en tt 'an wn tt 'uu dd uc bb 'en #s vv 'an mm uc ss tt ee rf mm ii nn 'aa rf rx aa pp ii dd aa mm 'en ts ic pp 'aa rr ac nn 'an wn oo kk uu pp 'aa rf ss 'ee uw tt 'en pp uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0060.wav;adriana
#p gg oo ss tt aa rr 'ii ac dz ic dz ii zz 'ee rf kk ic ff ii kk 'ee ij mm 'un in tt uc ff ee ll 'ii zz en kk on nh ee ss 'ee ll uc ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0107.wav;adriana
#p ss ic pp rd ee ss ii zz 'aa rf #c nn 'an wn dd 'ee ij sh ic dz ic mm ic kk on tt aa tt 'aa rf #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0567.wav;adriana
#p ss ic 'ee ll ic gg an nh 'aa rf #c ac ee kk oo nn oo mm 'ii ac vv oo uw tt aa rr 'aa ac kk rd ee ss 'ee rr ic tt 'oo dd uc zz vv 'an mm uc ss kk on ss ee gg 'ii rr en pp rd 'ee gg uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0123.wav;adriana
#p vv oo ss 'ee #c aa ll 'en dd ac mm 'aa ij ss kk ee rr 'ii dd ac #c ff 'oo ij ac mm ee lh 'oh rr aa ll 'uu nn ac dd ac tt 'uu rf mm ac dz ic en zh en nh aa rr 'ii ac dz ic dd 'oo ij zz mm 'ii uw ic dd ee zz ee nn 'oh vv ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0021.wav;adriana
#p ff 'oh kk uc nn uc pp ll an nn 'ee tt ac 'eh nn 'oh ss ac sh 'an ss ic dz ic ff aa zz 'ee rr uc mm 'ee zz mm uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0638.wav;adriana
#p kk on tt 'uu dd uc #c ac pp 'eh dd rd ac ff 'oo ij kk ee bb rd 'aa dd ac #c uc kk ic ff 'ee ss kk on kk ic uc ff ii nn 'aa uw dd ac pp aa ss 'aa zh en ff ii kk 'aa ss ic pp rd aa ts ii kk aa mm 'en ts ic ii ll ee zh 'ii vv ee uw #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0222.wav;adriana
#p an tt 'oh nn ic uw tt 'oh rf nn ac uc pp ii 'oh rf gg 'ee ij mm ic tt rd an kk uw 'ii ll uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0093.wav;adriana
#p gg an nh 'ee ij 'uu mm ac vv ii 'aa zh en pp 'aa rr ac bb uu 'ee nn uc zz 'aa ij rr ic ss kk 'oo mm uc pp rd ee zz 'en ts ic dd 'ee dd ee zz 'oo ij tt uc 'an nn uc ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0059.wav;adriana
#p dz 'ii gg ac ss ic ff 'oo ij en gg 'an nn uc #c 'oo uw nn 'an wn #q;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0713.wav;adriana
#p ac ii dd 'eh ij ac dd uc pp aa rf ts 'ii dd uc ic dd uc mm ee rf kk 'aa dd uc #c 'oo uw ss 'ee zh ac #c tt rd 'ee zz 'an nn uc zz dz ic vv 'ii ac zz mm oo nn ii tt oo rr 'aa dd ac ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0221.wav;adriana
#p kk 'eh rr uc mm 'un in tt uc vv 'ee rf vv 'ii dz ic uw zz dd uc zz bb 'aa rr ic zz ic uc kk ic uc zz ii rf ll an dd 'ee zz ic ss ff 'aa ll an wn dd ac mm 'in nh ac kk ee rr 'ii dd ac ss ee rf vv 'ee zh ac gg 'ii nn ic ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_gen/wav22/eps_neutro_gen0231.wav;adriana
#p ii rx ee gg uu ll aa rr ii dd 'aa dz ic zz nn ac kk an pp 'an nh ac pp 'aa rr ac uc kk an dz ii dd 'aa tt uc dd uc pp 'ee 'eh ss ic dd 'ee bb 'ee #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0271.wav;adriana
#p ff ii zz 'eh rr an wn mm 'aa ij ss ss 'ee dd uc ac ss kk ee ss tt 'on jn zz dd ac pp rd 'oh vv ac dz ic 'oo zh ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0757.wav;adriana
#p mm 'un in tt ac zz vv 'en dd ac zz nn uc pp aa 'ii ss #c pp 'aa rr ac ff aa zz 'ee rr ac ss pp rd ii mm aa vv 'eh rr ac ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0206.wav;adriana
#p in ff oo rf mm 'aa rf nn 'oh mm ic kk on pp ll 'eh tt uc #c pp 'aa rr ac nn 'an wn aa tt rd aa pp aa lh 'aa rr ac zz in vv ee ss ts ii gg aa ss 'on jn ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0245.wav;adriana
#p kk oo rx 'ii dd ac bb 'oo ac en mm 'oo nn ac kk uc #c in kk ll uu 'in dd uc uc dd uu 'eh ll uc 'en tt rd ic uc aa rf zh en ts 'ii nn uc ic uc in gg ll 'ee zz nn ac zz rx 'uu ac ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0121.wav;adriana
#p pp ee rf mm aa nn ee ss 'ee rr en ss 'aa ll ac dz ic 'aa uw ll ac #c ic dz ii ss kk uu ts 'ii rr uc aa ss 'un tt uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0092.wav;adriana
#p ss ic pp rd ee ff ee rr 'ii rf #c tt an bb 'en ee ss tt 'an mm uc zz aa tt en dd 'en dd uc pp 'ee ll uc uu aa ts ii zz 'aa pp ic #c sh 'aa ts ic #c ic vv 'ii ac ee mm 'ee ij oo uw aa tt rd aa vv 'eh zz dd uc nn 'oh ss uc ss 'aa ij ts ic #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_aco/wav22/eps_neutro_aco0123.wav;adriana
#p ic aa gg 'oh rr ac vv oo ss 'ee kk on ss 'eh gg ic uc pp aa kk 'oh ts ic pp rd oo mm oo ss ii oo nn 'aa uw ac pp rd 'ee ss uc ss kk ic nn 'un kk ac vv 'ii uw #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0101.wav;adriana
#p ss ic kk ii zz 'eh rf ss aa bb 'ee rf kk 'oo mm uc ff aa zz 'ee rf #c nn 'an wn ss ic ee ss kk 'ee ss ac #k mm ic ll 'ii gg ic kk uw aa uw kk 'eh rf dz 'ii ac dd ac ss ee mm 'an nn ac dd ac zz 'oo ij tt uc 'aa ss kk aa tt 'oo rf zz ic 'oh rr ac ss #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0084.wav;adriana
#p gg an nh 'oo uw aa uw gg 'un ss en ts 'ii dd uc nn ac zz ee ll ee ij ss 'on jn zz dz ic oo uw tt 'uu bb rd uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_rf/wav22/eps_neutro_rf0280.wav;adriana
#p ss 'ee uw in gg ll 'ee zz nn 'an wn ee ss tt 'aa tt 'an wn rx uu 'in aa ss 'in #s vv 'aa ij kk on ss ee gg 'ii rf ss ic kk oo mm uu nn ii kk 'aa rf ss en pp rd oo bb ll 'ee mm ac zz nn uc kk on gg rd 'eh ss uc #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_aco/wav22/eps_neutro_aco0119.wav;adriana
#p kk uw 'an tt uc mm 'aa ij zz vv oo ss 'ee ss ic ee ss ff oo rf ss 'aa rf #c mm 'aa ij ss pp oo dd ee rr 'aa kk on ss ee gg 'ii rf kk ee rr 'ii dd ac #p;/l/disk1/awstebas/lhueda/data/speaker-adriana/eps_neutro_ani/wav22/eps_neutro_ani0097.wav;adriana
