phonetic_transcription;wav_path;speaker;style
#p oo uw vv 'ii rf dd ac kk oo mm ii ss 'an wn kk ic 'eh in pp oo ss 'ii vv ee uw dd 'en tt rd uc dd uc pp rd 'aa zz uc #c mm 'uu dd ac tt 'oo dd uc uc kk 'uu rf ss uc #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas1945.wav;rosana;neutro
#p ss 'uu rf zh ic en aa ll ii mm 'en tt uc zz 'oo uw an bb ii 'en ts ic zz 'uu mm ic dd uc ss #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0961.wav;carlos;neutro
#p en bb 'uu ss kk ac dd uc tt rd ee ij nn aa dd 'oo rf #c aa tt uu aa uw mm 'en ts ic en bb 'aa ij sh ac #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas1742.wav;rosana;neutro
#p kk on ss ts ii tt uu ij ss 'an wn dd uc ee zh 'ii tt uc 'eh bb aa rx 'aa dd ac #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0750.wav;carlos;neutro
#p aa 'ii #c 'eh ss 'oh vv oo ss 'ee dz ii zh ii tt 'aa rr ac ss 'en nh ac dd uc kk aa rf tt 'an wn #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_bia/wav22/bradesco_bia0062.wav;rosana;neutro
#p dz ii 'ee gg uc #q;/l/disk1/awstebas/data/TTS/speaker-rosana/nomes_isolados/wav22/nomes_isolados0140.wav;rosana;neutro
#p kk aa rr oo ll 'ii nn ic #q;/l/disk1/awstebas/data/TTS/speaker-rosana/nomes_isolados/wav22/nomes_isolados0198.wav;rosana;neutro
#p ac gg aa rr 'oo tt ac dd 'aa tt rd 'eh gg uw ac pp 'aa rr ac ss 'ee uw ii zz mm aa rf ts ii ff 'oo nn ic #p;/l/disk1/awstebas/data/TTS/speaker-rosana/complemento/wav22/complemento0192.wav;rosana;neutro
#p nn ee gg oo ss 'ii ac rx 'oh ij ac uw ts ic zz dd uc pp ee tt rd 'oh ll ee uw #c nn ac zz rx ee zh ii 'on jn ss pp rd 'oh ss ic mm ac zz 'aa tt uu rf kk 'ii ac #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas1863.wav;rosana;neutro
#p aa ff 'ii rf mm an wn ss uu rf pp rd 'ee zz ac kk on ac ee ss pp ll oo zz 'an wn dd uc 'oo nn ic bb uc ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas0072.wav;rosana;neutro
#p ee ss ff 'oh rf ss uc zz dz ic kk 'en pp rd ee vv 'ee ac rx uu 'ii nn ac dd ac kk on kk oo rx 'en ss ij ac #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas0207.wav;rosana;neutro
#p nn uc oo tt 'eh uw aa uw gg 'uu mm ac zz 'oh ss pp ee dz ic ss ff 'oo rr an wn dd ee ts 'ii dd ac ss #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0703.wav;carlos;neutro
#p 'eh uc 'uu nn ic kk uc kk on pp oo tt en ss ii 'aa uw pp 'aa rr ac uc 'uu zz uc dd ac kk 'in tt ac #p;/l/disk1/awstebas/data/TTS/speaker-rosana/complemento/wav22/complemento0223.wav;rosana;neutro
#p uc ii dd ee 'aa uw pp 'aa rr ac ff aa zz 'ee rf bb 'en 'aa uw 'eh gg uc #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0487.wav;carlos;neutro
#p pp 'aa rr ac kk on ss uu uw tt 'aa rr uc ss ss ee gg 'uu rr uc ss kk aa dd aa ss tt rd 'aa dd uc zz nn ac ss 'uu ac kk 'on tt ac #c vv oo ss 'ee vv 'aa ij pp rd ee ss ii zz 'aa rr aa ss ee ss 'aa ll ac en bb 'an kk uc pp 'on tt uc bb rd aa dd 'ee ss kk uc #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_baseInformacional/wav22/bradesco_baseInformacional0128.wav;rosana;neutro
#p rx ee nn oo mm 'aa dd ac pp oo rf mm an tt 'ee rf rx ee ll aa ss 'on jn zz 'eh ts ic kk ac zz ic tt rd an ss pp aa rr 'en ts ic ss kk on ss 'ee uw ss kk ll ii 'en ts ic ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/sulamerica_vida/wav22/sulamerica_vida0027.wav;rosana;neutro
#p uc rx ee sh 'ee ij uw ts 'in nh ac aa zz ee ij tt 'oo nn ac ic bb ee tt ee rx 'aa bb ac #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas0662.wav;rosana;neutro
#p pp 'aa rr ac ts ic aa zh uu dd 'aa rf mm ic in ff 'oh rf mm ic ss ic vv oo ss 'ee kk 'eh rf kk aa dd aa ss tt rd 'aa rr un kk aa rf tt 'an wn zh 'aa ee zz ii ss tt 'en ts ic nn ac 'eh pp oo uw ss tt 'oh rf #c aa dz ii ss ii oo nn 'aa rr un kk aa rf tt 'an wn ac pp aa rf ts 'ii rf dd ac kk 'an mm ee rr ac ff oo tt oo gg rd 'aa ff ic kk ac 'oo uw aa dz ii ss ii oo nn 'aa rf mm aa nn uu aa uw mm 'en ts ic un kk aa rf tt 'an wn #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_baseInformacional/wav22/bradesco_baseInformacional0219.wav;rosana;neutro
#p kk ll 'aa rr uc zh 'ii gg ac ss 'ee ij zz zh ii gg aa bb 'aa ij ts ic ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/dnk/wav22/dnk0020.wav;rosana;neutro
#p en kk ic dz 'ii ac vv oo ss 'ee kk 'eh rf kk ic 'ee uw ff 'aa ss ac ac tt rd an ss ff ee rr 'en ss ij ac #q;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_erroTransferencia/wav22/bradesco_erroTransferencia0058.wav;rosana;neutro
#p ff ee ll 'ii zz aa nn ii vv ee rf ss 'aa rr ic uw #p;/l/disk1/awstebas/data/TTS/speaker-carlos/neutro/wav22/neutro0047.wav;carlos;neutro
#p 'eh uc kk 'aa zz uc dd ac zh uu vv en tt 'uu dz ic #c kk on uc ff ee nn 'oo mm ee nn uc ii nn ee vv ii tt 'aa vv ee uw #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0450.wav;carlos;neutro
#p tt aa 'ii 'uu mm ac kk 'oo ij zz ac kk ic tt an bb 'en nn 'an wn ss 'ee ij #p ss ic vv oo ss 'ee dd ee ss kk oo bb rd 'ii rf ss ic vv 'aa ij dd 'aa rf pp rd 'aa ij ac nn uc ff ii nn 'aa uw dz ic ss ee mm 'an nn ac #c mm ic aa vv 'ii zz ac #e;/l/disk1/awstebas/data/TTS/speaker-rosana/bia_googleAssistant/wav22/bia_googleAssistant0130.wav;rosana;neutro
#p ee ss tt 'oo uw ff aa ll 'an dd uc kk on #d ss ee ll 'ii nn ac #q;/l/disk1/awstebas/data/TTS/speaker-carlos/aec/wav22/aec0006.wav;carlos;neutro
#p pp 'aa rr ac aa pp ll ii kk aa ss 'on jn zz dz ic vv oo kk aa bb uu ll 'aa rr ic uw rx ee ss tt rd 'ii tt uc #c pp rd oo dd 'uu ss ff 'aa ll ac ss in tt ee ts ii zz 'aa dd ac kk on 'aa uw tt ac nn aa tt uu rr aa ll ii dd 'aa dz ic #s ss 'en dd uc vv ii rf tt uu aa uw mm 'en ts ic in dz ii ss ts in gg 'ii vv ee uw dd ac ff 'aa ll ac nn aa tt uu rr 'aa uw #p;/l/disk1/awstebas/data/TTS/speaker-carlos/textofala/wav22/textofala0033.wav;carlos;neutro
#p aa ss 'eh ss ic uc 'eh pp ic bb rd aa dd 'ee ss kk uc #c tt 'oh kk ic en mm ee nn 'uu #c rx 'ee dz ic dz ic aa tt en dz ii mm 'en tt uc #c ts 'ii pp uc dz ic aa tt en dz ii mm 'en tt uc #c bb uu ss kk 'aa rf #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bia_googleAssistant/wav22/bia_googleAssistant0315.wav;rosana;neutro
#p 'ee uw mm ic ss 'in tt uc kk aa pp 'aa zz dz ic aa ss uu mm 'ii rr 'ee ss ic mm an dd 'aa tt uc #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas1383.wav;rosana;neutro
#p kk on uc ee ss tt 'oo zh uc ff ee sh 'aa dd uc 'eh pp oo ss 'ii vv ee uw ss en ts 'ii rr uc ss pp ee rf ff 'uu mm ic ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas1000.wav;rosana;neutro
#p kk ll 'aa uu dz bb aa zz ii kk aa mm 'en ts ic ss ii gg nn ii ff 'ii kk ac ff aa ss ii ll ii dd 'aa dz ic dz ic aa rf mm aa zz ee nn aa mm 'en tt uc #c;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_bia/wav22/bradesco_bia0119.wav;rosana;neutro
#p gg oo ss tt aa rr 'ii ac dz ic ss oo ll ii ss ii tt 'aa rr ac ss ee gg 'un dd ac vv 'ii ac dz ic aa uw gg 'uu mm ac 'oo uw tt rd ac ff aa tt 'uu rr ac en aa bb 'eh rf tt uc #q;/l/disk1/awstebas/data/TTS/speaker-carlos/aec_old/wav22/aec_old0030.wav;carlos;neutro
#p ac aa pp 'oh ll ic ss ic dd uc ss ee gg 'uu rr uc #c kk ic 'eh uc dd oo kk uu mm 'en tt uc kk on ac ss ee gg uu rr aa dd 'oo rr ac #p;/l/disk1/awstebas/data/TTS/speaker-rosana/sulamerica_auto/wav22/sulamerica_auto0046.wav;rosana;neutro
#p ss oo ll ii ss ii tt 'aa rr un tt aa ll 'an wn dz ic sh 'eh kk ic ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_erroTransferencia/wav22/bradesco_erroTransferencia0249.wav;rosana;neutro
#p 'eh ss 'oh aa ss ee ss 'aa rf ss 'uu ac kk 'on tt ac #c kk ll ii kk 'aa rr en #c zh ee rr en ss ii 'aa rf tt rd an zz aa ss 'an wn ic 'oo uw ll ii mm 'ii ts ic ss #c ic dd ee pp 'oo ij zz en #c bb ll oo kk ee 'aa rf dd ee zz bb ll oo kk ee 'aa rf tt rd an zz aa ss 'on jn ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_erroTransferencia/wav22/bradesco_erroTransferencia0155.wav;rosana;neutro
#p ss 'oh kk on un ss 'ii kk ll uc dz ic gg rd 'ii pp ic nn uc 'aa rf #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas0288.wav;rosana;neutro
#p aa bb rd 'aa ss uc ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/neutro/wav22/neutro0055.wav;rosana;neutro
#p ss 'oo uw dd ac oo pp ee rr aa dd 'oo rr ac vv 'ii vv uc #p;/l/disk1/awstebas/data/TTS/speaker-carlos/ibm_elo/wav22/ibm_elo0090.wav;carlos;neutro
#p ac kk aa rf tt 'ee ij rr ac dz ic mm oo tt oo rr 'ii ss tt ac in kk ll 'uu ij un ee pp ii zz 'oh dz ic uw tt rd 'ii ss ts ic #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas0385.wav;rosana;neutro
#p ss ic kk ii zz 'eh rr 'ee uw aa gg uw 'aa rf dd uc vv oo ss 'ee bb uu ss kk 'aa rr uc ss 'ee uw 'eh rx ic zh 'ee #p;/l/disk1/awstebas/data/TTS/speaker-carlos/ibm_elo/wav22/ibm_elo0194.wav;carlos;neutro
#p nn 'un kk ac 'uu zz ic uc sh 'eh kk ic ee ss pp ee ss ii 'aa uw pp 'aa rr ac pp aa gg 'aa rf dz 'ii vv ic dd ac zz dd ee kk oo rx 'en ts ic zz dz ic 'oo uw tt rd uc ss ff ii nn an ss ii aa mm 'en tt uc ss #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica1791.wav;carlos;neutro
#p vv oo ss 'ee 'eh #c 'oo uw kk on nh 'eh ss ic ff uu ll 'an nn uc #q;/l/disk1/awstebas/data/TTS/speaker-carlos/ibm_elo/wav22/ibm_elo0227.wav;carlos;neutro
#p kk oo ss tt uu mm 'aa vv ac zh oo gg 'aa rr ac kk 'uu uw pp ac en oo ll ii vv 'ee ij rr ac #c kk 'oo mm uc uc zz rx ee bb 'eh uw dz ic ss #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0576.wav;carlos;neutro
#p ss ic ee ss ts ii vv 'eh rr en 'oo uw tt rd ac zz rx ee zh ii 'on jn ss #c 'eh ss 'oh ll ii gg 'aa rf pp 'aa rr ac zz 'eh rr uc oo ij tt oo ss 'en tt uc ss #c ss 'eh ts ic zz 'eh rr uc kk uw 'aa tt rd uc #c 'un kk uw 'aa tt rd uc #c 'un kk uw 'aa tt rd uc #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_conteudoInformacional/wav22/bradesco_conteudoInformacional0226.wav;rosana;neutro
#p aa 'in dd ac nn 'an wn tt 'en nh uc rx ee ss pp 'oh ss tt ac ss 'oo bb rd ic kk oo bb ee rf tt 'uu rr ac dz ic aa pp aa rr 'ee lh uc oo dd on tt oo ll 'oh zh ic kk uc #c mm 'aa zz un aa tt en dd 'en ts ic dd ac nn 'oh ss ac ss en tt rd 'aa uw dz ic rx ee ll aa ss ii oo nn aa mm 'en tt uc pp oo dd ee rr 'aa ts ic aa zh uu dd 'aa rf #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bia_googleAssistant/wav22/bia_googleAssistant0509.wav;rosana;neutro
#p aa tt en dz ii mm 'en tt uc dd ac ss ss 'eh ts ic ic kk uw aa rr 'en tt ac 'aa zz vv 'in ts ic ic vv 'in ts ic #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bia_googleAssistant/wav22/bia_googleAssistant0465.wav;rosana;neutro
#p kk uw 'an dd uc vv oo ss 'ee ff 'ii kk ac ss en ss ii nn 'aa uw #c rx ee ij nn ii ss ii 'aa rr uc ss ee ll uu ll 'aa rf kk oo ss tt 'uu mm ac rx ee zz oo uw vv 'ee rf #p;/l/disk1/awstebas/data/TTS/speaker-rosana/mutant/wav22/mutant0101.wav;rosana;neutro
#p ss ic uc kk ll ii 'en ts ic in ff oo rf mm 'aa rr 'oo uw tt rd uc zz bb 'an kk uc ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_erroTransferencia/wav22/bradesco_erroTransferencia0007.wav;rosana;neutro
#p vv oo ss 'ee pp rd oo tt 'eh zh ic ss 'ee uw zz aa ss 'eh ss uc zz ic aa 'in dd ac ff 'aa ss tt rd an zz aa ss 'on jn ss ss en kk aa rf tt 'an wn #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_baseInformacional/wav22/bradesco_baseInformacional0053.wav;rosana;neutro
#p aa ll ee sh 'an dd rd ic aa dz mm ii ts 'ii uw uc kk on ss 'uu mm uc dz ic dd rd 'oh gg ac ss #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0342.wav;carlos;neutro
#p vv oo ss 'ee vv 'aa ij in ff oo rf mm 'aa rf kk ic ts 'ii pp uc dz ic kk oo bb ee rf tt 'uu rr ac zz dd ee zz 'ee zh ac #c kk ic ts 'ii pp uc dz ic kk 'aa rx uc tt 'en #c ic mm 'aa ij zz aa uw gg 'uu mm ac zz in ff oo rf mm aa ss 'on jn ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/sulamerica_auto/wav22/sulamerica_auto0043.wav;rosana;neutro
#p mm 'un in tt uc zz mm ii nn 'uu tt uc ss pp rd ac ff aa ll 'aa rf #q;/l/disk1/awstebas/data/TTS/speaker-carlos/ibm_elo/wav22/ibm_elo0029.wav;carlos;neutro
#p dd 'oo uw aa pp 'oo ij uw 'aa uw zz aa pp aa rr 'ee lh uc zz dz ic zh ii nn 'aa ss ts ic kk ac #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas0414.wav;rosana;neutro
#p aa 'in dd ac kk ic 'eh ll ac tt rd an ss pp 'oh rf ts ic pp 'aa rr ac 'uu mm ac in tt ee rf nn aa ss ii oo nn 'aa uw dd ac sh 'ii nn ac #c nn 'ee ss ts ic 'an nn uc ac zz aa ss 'on jn ss kk aa 'ii rr an wn nn uc mm ee rf kk 'aa dd uc #p;/l/disk1/awstebas/data/TTS/speaker-rosana/freqpalavras/wav22/freqpalavras0141.wav;rosana;neutro
#p nn ac mm 'in nh ac oo pp ii nn ii 'an wn #c 'eh aa kk 'ee ll ic kk ic lh ic aa tt 'en dz ic 'on dz ic ic kk 'oo mm uc vv oo ss 'ee pp rd ee ss 'ii zz ac #c in kk ll uu zz 'ii vv ic aa tt rd aa vv 'eh zz dz ic vv 'oh ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bia_googleAssistant/wav22/bia_googleAssistant0093.wav;rosana;neutro
#p vv oo ss 'ee ff 'aa ll ac kk on ac 'ii zz ac #p;/l/disk1/awstebas/data/TTS/speaker-rosana/akiva/wav22/akiva0001.wav;rosana;neutro
#p kk on ts ii nn 'uu ac uc in ss 'en dz ic uw oo kk aa zz ii oo nn 'aa dd uc nn uc pp 'aa uw kk uc #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica1663.wav;carlos;neutro
#p nn 'an wn 'eh pp rd ee ss 'ii zz uc in ff oo rf mm 'aa rr uc dz ii ss pp oo zz ii ts 'ii vv uc an ts 'ii gg uc #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_bia/wav22/bradesco_bia0078.wav;rosana;neutro
#p pp oo rf mm 'ee ij uw dd 'ee ll ic #c vv oo ss 'ee ff 'aa zz ac kk 'on pp rd ac ic uc pp aa gg aa mm 'en tt uc #d vv 'ii ac bb oo ll 'ee tt uc #c kk rd ee dz ii 'aa rr ic uw ic tt rd an ss ff ee rr 'en ss ij ac #d pp 'ee ll ac in tt ee rf nn 'eh ts ic #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_baseInformacional/wav22/bradesco_baseInformacional0156.wav;rosana;neutro
#p uc ss kk ic ts ii vv 'eh rr an wn ll uu gg 'aa rf #c gg an nh 'aa rr an wn pp 'on tt uc ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/complemento/wav22/complemento0502.wav;rosana;neutro
#p 'oh ts ic mm uc #p;/l/disk1/awstebas/data/TTS/speaker-carlos/neutro/wav22/neutro0015.wav;carlos;neutro
#p ss 'in tt uc mm 'un in tt uc #e;/l/disk1/awstebas/data/TTS/speaker-rosana/emocao/wav22/emocao0006.wav;rosana;neutro
#p ss 'en nh ac #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco/wav22/bradesco0065.wav;rosana;neutro
#p 'ee uw ss 'ee ij kk ic uc gg 'ii ts ic 'eh kk on pp ll ii kk 'aa dd uc #c mm 'aa zz 'ee uw pp 'oh ss uc lh ic aa zh uu dd 'aa rf #e;/l/disk1/awstebas/data/TTS/speaker-rosana/botina/wav22/botina0007.wav;rosana;neutro
#p ss ic kk ii zz 'eh rf pp en ss 'aa rr un pp 'oo uw kk uc #p;/l/disk1/awstebas/data/TTS/speaker-carlos/ibm_elo/wav22/ibm_elo0193.wav;carlos;neutro
#p aa tt 'eh bb rd 'eh vv ic #p;/l/disk1/awstebas/data/TTS/speaker-rosana/neutro/wav22/neutro0036.wav;rosana;neutro
#p ss ic gg aa bb 'oo uw dd ac pp aa rf ts ii ss ii pp aa ss 'an wn dd ac vv ii tt 'oh rr ij ac pp oo rf dd 'oo ij zz ac 'un dd uc ff ll uu mm ii nn 'en ss ic #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas1079.wav;rosana;neutro
#p aa gg 'oh rr ac vv 'an mm uc ss pp rd ac pp 'aa rf ts ic bb uu rr oo kk rd 'aa ts ic kk ac nn 'eh #q;/l/disk1/awstebas/data/TTS/speaker-carlos/ibm_elo/wav22/ibm_elo0221.wav;carlos;neutro
#p pp 'aa rr ac en ss ee rx 'aa rr 'uu mm ac kk 'on tt ac zh uu rr 'ii dz ic kk ac #c;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_baseInformacional/wav22/bradesco_baseInformacional0207.wav;rosana;neutro
#p pp 'aa rr ac ac rx ee ts ii rr 'aa dd ac dd uc aa pp aa rr 'ee lh uc #c uc ts ii tt uu ll 'aa rf dd 'eh vv ic ss ic dz ii rr ii zh 'ii rr aa tt 'eh 'uu mm ac ll 'oh zh ac pp rd 'oh pp rd ij ac dd ac kk ll 'aa rr uc #c pp oo rf tt 'an dd uc dd oo kk uu mm 'en tt uc kk on ff 'oh tt uc #c en aa tt 'eh ss ee tt 'en tt ac ic dd 'uu ac zz 'oh rr ac ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/dnk/wav22/dnk0033.wav;rosana;neutro
#p pp rd ee ss ii 'oo nn ic kk 'on tt rd oo uw mm 'aa ij ss #c ic kk 'on tt rd oo uw mm 'ee nn uc ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bradesco_baseInformacional/wav22/bradesco_baseInformacional0098.wav;rosana;neutro
#p 'ee uw rx ee kk oo mm 'en dd uc kk ic vv oo ss 'ee kk an ss 'eh ll ic ss 'ee uw kk aa rf tt 'an wn kk on ss uu ss pp 'ee ij tt ac dz ic ff rd 'aa uw dz ic pp 'ee ll uc ff 'oo nn ic ff 'aa ss ic uw #p;/l/disk1/awstebas/data/TTS/speaker-rosana/bia_googleAssistant/wav22/bia_googleAssistant0560.wav;rosana;neutro
#p aa dd 'ee uw ss #p;/l/disk1/awstebas/data/TTS/speaker-carlos/neutro/wav22/neutro0033.wav;carlos;neutro
#p ac kk rd 'ii ts ic kk ac zh 'aa tt 'en vv 'ii ss tt uc ac ss 'uu ac 'oh bb rd ac kk on bb 'on zz 'oh lh uc ss #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0759.wav;carlos;neutro
#p 'on dz ic vv oo ss 'ee pp 'oh dz ic rx ee kk uu pp ee rr 'aa rr aa tt 'eh tt 'oo dd uc uc vv aa ll 'oo rf gg 'aa ss tt uc nn uc 'an nn uc kk on uc zz dd ee ss kk 'on tt uc zz rx ee ss ee bb 'ii dd uc ss #p;/l/disk1/awstebas/data/TTS/speaker-rosana/akiva/wav22/akiva0020.wav;rosana;neutro
#p pp 'aa rr ac 'eh ll ac #c kk ic mm aa tt 'oo uw dd 'eh zz nn ac ii gg rd 'ee zh ac #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas1660.wav;rosana;neutro
#p ii mm aa zh 'ii nn ic uc zz aa bb 'uu zz uc zz dd uu rr 'an ts ic ac aa bb ee rf tt 'uu rr ac dd ac kk 'oh pp ac #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica0131.wav;carlos;neutro
#p en vv ii 'an dd uc nn oo ts 'ii ss ij ac ss #c pp oo rf tt ee ll ee ff 'oo nn ic #c 'aa uw 'oh rf gg an wn #p;/l/disk1/awstebas/data/TTS/speaker-carlos/riqueza_fonetica/wav22/riqueza_fonetica1022.wav;carlos;neutro
#p sh ee gg 'oo uw ac rx 'oo mm ac nn un bb 'eh ll uc dz 'ii ac dz ic aa gg 'oo ss tt uc #p;/l/disk1/awstebas/data/TTS/speaker-rosana/rf_selecionadas/wav22/rf_selecionadas1563.wav;rosana;neutro
